zip,neighbor_zip,distance_miles
02108,02114,0.351
02108,02111,0.472
02108,02109,0.583
02108,02110,0.665
02109,02113,0.287
02109,02110,0.301
02109,02108,0.583
02109,02114,0.669
02110,02109,0.301
02110,02113,0.576
02110,02108,0.665
02110,02111,0.758
02111,02108,0.472
02111,02110,0.758
02111,02116,0.76
02111,02114,0.815
02113,02109,0.287
02113,02110,0.576
02113,02114,0.676
02113,02108,0.735
02114,02108,0.351
02114,02109,0.669
02114,02113,0.676
02114,02111,0.815
02115,02120,0.701
02115,02116,0.903
02115,02118,1.083
02115,02119,1.311
02116,02118,0.756
02116,02111,0.76
02116,02108,0.855
02116,02115,0.903
02118,02116,0.756
02118,02111,0.933
02118,02115,1.083
02118,02119,1.211
02119,02120,0.849
02119,02121,1.035
02119,02118,1.211
02119,02115,1.311
02120,02115,0.701
02120,02119,0.849
02120,02118,1.347
02120,02116,1.506
02121,02119,1.035
02121,02130,1.447
02121,02125,1.52
02121,02120,1.779
02122,02124,1.252
02122,02125,1.303
02122,02121,1.808
02122,02119,2.551
02124,02122,1.252
02124,02126,1.386
02124,02121,1.813
02124,02125,2.274
02125,02122,1.303
02125,02121,1.52
02125,02127,1.606
02125,02119,1.69
02126,02124,1.386
02126,02131,1.916
02126,02136,2.368
02126,02121,2.544
02127,02125,1.606
02127,02111,1.692
02127,02110,1.745
02127,02118,1.818
02128,02113,1.303
02128,02109,1.436
02128,02129,1.516
02128,02110,1.518
02129,02113,0.972
02129,02114,1.178
02129,02109,1.252
02129,02108,1.467
02130,02121,1.447
02130,02119,1.723
02130,02120,1.846
02130,02131,1.879
02131,02132,1.791
02131,02130,1.879
02131,02126,1.916
02131,02136,2.155
02132,02131,1.791
02132,02136,2.44
02132,02130,3.279
02132,02126,3.551
02134,02135,1.582
02134,02115,2.232
02134,02120,2.366
02134,02116,2.881
02135,02134,1.582
02135,02120,3.564
02135,02115,3.644
02135,02130,3.883
02136,02131,2.155
02136,02126,2.368
02136,02132,2.44
02136,02124,3.753
